#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-19T15:58:01 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-19T15:58:01	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/702/A68/tablea1&Name=HD187123&-out=Name,BJD,RV,e_RV,RVcor,e_RVcor&-out.max=unlimited&-sort=BJD	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020068
#Name: J/A+A/702/A68
#Title: HIRES/Keck radial velocity database (Teklu+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a68	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a68	    IVOID of underlying data collection
#INFO	creator=Teklu J.T.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..68T	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A68	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-ny/lgi	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_702_A68_tablea1:
#Name: J/A+A/702/A68/tablea1
#Title: Individual radial velocities with NZP corrected and uncorrected, chromospheric activity indices, and all internal and custom flags
#Column	Name	(a14)	Star name	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian date	[ucd=time.epoch]
#Column	RV	(F14.7)	Radial velocity (derived)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F6.2)	Radial velocity error (derived)	[ucd=stat.error]
#Column	RVcor	(F16.9)	NZP corrected radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVcor	(F7.3)	NZP corrCaIIected radial velocity error	[ucd=stat.error]
Name	BJD	RV	e_RV	RVcor	e_RVcor
 	d	km/s	km/s	km/s	km/s
--------------	-------------	--------------	------	----------------	-------
HD187123      	2450805.70168	    -1.2300000	  1.04	     0.403000000	  1.129
HD187123      	2450983.02773	    87.3300000	  1.17	    88.504000000	  1.330
HD187123      	2451009.94194	   -16.2000000	  1.20	   -15.331000000	  1.256
HD187123      	2451011.11557	    85.0200000	  1.36	    85.699000000	  1.410
HD187123      	2451011.87435	     2.4200000	  1.11	     3.364000000	  1.171
HD187123      	2451012.06652	   -27.1500000	  1.07	   -26.417000000	  1.133
HD187123      	2451012.84005	   -38.1400000	  1.35	   -37.159000000	  1.400
HD187123      	2451012.94853	   -26.3400000	  1.21	   -25.478000000	  1.266
HD187123      	2451013.07508	   -11.0600000	  1.15	   -10.337000000	  1.209
HD187123      	2451013.79062	    76.8300000	  1.35	    77.866000000	  1.400
HD187123      	2451013.91502	    83.8900000	  1.48	    84.789000000	  1.526
HD187123      	2451014.08112	    85.9600000	  1.23	    86.677000000	  1.285
HD187123      	2451042.96139	   -12.7400000	  1.26	   -12.906000000	  1.320
HD187123      	2451043.04160	   -24.1400000	  1.19	   -24.394000000	  1.254
HD187123      	2451043.96069	   -22.9100000	  1.25	   -23.075000000	  1.311
HD187123      	2451044.05597	   -14.9500000	  1.10	   -15.220000000	  1.169
HD187123      	2451050.72731	    50.5100000	  1.03	    51.773000000	  1.051
HD187123      	2451050.73269	    55.0700000	  1.14	    56.327000000	  1.159
HD187123      	2451051.00235	    81.4100000	  1.15	    82.372000000	  1.168
HD187123      	2451051.00613	    82.2700000	  1.18	    83.227000000	  1.198
HD187123      	2451051.72599	    55.1800000	  1.03	    56.427000000	  1.050
HD187123      	2451051.73301	    55.6600000	  1.03	    56.899000000	  1.050
HD187123      	2451052.01224	    16.6300000	  0.93	    17.563000000	  0.952
HD187123      	2451068.83108	   -13.1300000	  1.14	   -11.833000000	  1.160
HD187123      	2451069.84575	    83.0000000	  1.20	    84.281000000	  1.219
HD187123      	2451070.89137	   -22.9900000	  1.18	   -21.759000000	  1.199
HD187123      	2451071.82734	   -23.1900000	  1.10	   -21.888000000	  1.121
HD187123      	2451072.81685	    78.7600000	  1.23	    80.073000000	  1.249
HD187123      	2451073.84313	    -3.6600000	  1.20	    -2.376000000	  1.219
HD187123      	2451074.80478	   -35.3400000	  1.23	   -34.014000000	  1.249
HD187123      	2451312.11431	    10.2800000	  1.32	    12.325000000	  1.397
HD187123      	2451341.03403	   -40.5800000	  1.46	   -38.843000000	  1.514
HD187123      	2451341.98646	    69.7800000	  1.29	    71.569000000	  1.350
HD187123      	2451342.97574	    26.0300000	  1.30	    27.831000000	  1.360
HD187123      	2451367.92006	     1.4100000	  1.34	     2.216000000	  1.377
HD187123      	2451368.91093	   -48.2900000	  1.41	   -47.474000000	  1.446
HD187123      	2451370.02198	    76.5200000	  1.27	    77.215000000	  1.309
HD187123      	2451370.92933	    15.8300000	  1.17	    16.626000000	  1.213
HD187123      	2451372.02226	   -42.8900000	  1.19	   -42.196000000	  1.232
HD187123      	2451373.01946	    73.1700000	  1.14	    73.867000000	  1.184
HD187123      	2451373.81368	    50.6400000	  1.53	    51.563000000	  1.563
HD187123      	2451409.94448	    41.8300000	  1.20	    44.058000000	  1.293
HD187123      	2451410.90159	    51.1800000	  1.33	    53.455000000	  1.414
HD187123      	2451411.88134	   -57.3500000	  1.29	   -55.053000000	  1.377
HD187123      	2451706.06899	   -61.4100000	  1.38	   -62.108000000	  1.438
HD187123      	2452004.14137	   -10.5200000	  1.24	    -9.354000000	  1.289
HD187123      	2452008.13432	    69.2900000	  1.42	    70.311000000	  1.468
HD187123      	2452031.11237	   -67.6200000	  1.32	   -66.410000000	  1.431
HD187123      	2452062.02048	   -66.8400000	  1.99	   -65.450000000	  2.075
HD187123      	2452094.87912	    59.1500000	  1.64	    61.307000000	  1.664
HD187123      	2452101.91518	   -29.5300000	  1.43	   -27.412000000	  1.458
HD187123      	2452446.99300	   -20.5000000	  1.19	   -19.208000000	  1.324
HD187123      	2452536.75603	   -31.1600000	  1.47	   -30.156000000	  1.495
HD187123      	2452776.08519	    46.0900000	  1.40	    45.224000000	  1.522
HD187123      	2452833.88964	   -58.6000000	  1.38	   -58.274000000	  1.397
HD187123      	2453154.09123	    29.7200000	  1.45	    30.545000000	  1.593
HD187123      	2453179.86816	   -91.7500000	  1.39	   -91.039000000	  1.414
HD187123      	2453180.97771	   -25.7500000	  1.30	   -25.159000000	  1.326
HD187123      	2453181.95887	    26.2300000	  1.25	    26.841000000	  1.277
HD187123      	2453189.90169	   -70.8300000	  1.53	   -70.280000000	  1.551
HD187123      	2453195.86814	   -93.5800000	  1.48	   -92.993000000	  1.501
HD187123      	2453196.87395	    27.3000000	  1.45	    27.881000000	  1.472
HD187123      	2453237.92514	     4.0300000	  1.25	     2.703000000	  1.280
HD187123      	2453338.70319	   -51.8400000	  1.11	   -53.849000000	  1.200
HD187123      	2453339.73920	    42.3400000	  1.16	    40.292000000	  1.246
HD187123      	2453602.92993	    54.2700000	  1.33	    52.203000000	  1.373
HD187123      	2453723.70042	    59.5800000	  1.19	    58.907000000	  1.223
HD187123      	2453927.94025	    80.0200000	  1.15	    79.464000000	  1.193
HD187123      	2453982.88569	     1.1600000	  1.05	     0.175000000	  1.074
HD187123      	2454247.11641	    79.9200000	  1.29	    79.026000000	  1.308
HD187123      	2454248.07250	   -32.1700000	  1.26	   -33.016000000	  1.278
HD187123      	2454249.10514	    -3.5400000	  1.22	    -4.421000000	  1.239
HD187123      	2454250.03252	    88.8000000	  1.27	    87.998000000	  1.288
HD187123      	2454252.00271	   -23.1900000	  1.29	   -23.959000000	  1.308
HD187123      	2454256.02637	    82.3600000	  1.48	    81.313000000	  1.491
HD187123      	2454256.02785	    83.7200000	  1.35	    82.671000000	  1.362
HD187123      	2454277.93321	    84.0700000	  1.24	    82.751000000	  1.261
HD187123      	2454278.99030	   -26.7800000	  1.40	   -28.161000000	  1.419
HD187123      	2454295.02177	   -47.1800000	  1.30	   -48.259000000	  1.306
HD187123      	2454337.78851	   -23.5300000	  1.26	   -24.070000000	  1.281
HD187123      	2454343.84111	    -2.8900000	  1.46	    -2.927000000	  1.493
HD187123      	2454429.71949	    80.9900000	  1.26	    79.464000000	  1.289
HD187123      	2454637.08392	    78.5400000	  1.34	    77.678000000	  1.350
HD187123      	2454721.86756	   -38.5400000	  1.25	   -38.982000000	  1.260
HD187123      	2454955.13540	   -13.7500000	  1.38	   -14.255000000	  1.429
HD187123      	2455015.96233	   -33.1600000	  1.35	   -32.969000000	  1.376
HD187123      	2455111.86554	   -36.7700000	  2.05	   -36.602000000	  2.073
HD187123      	2455173.70825	   -17.1500000	  1.50	   -16.527000000	  1.511
HD187123      	2455286.15397	   -58.8800000	  1.58	   -58.513000000	  1.617
HD187123      	2455486.88471	   -67.7300000	  1.50	   -67.277000000	  1.515
HD187123      	2455522.70064	    59.3600000	  1.38	    59.611000000	  1.399
HD187123      	2455634.14394	    54.0100000	  1.29	    53.896000000	  1.315
HD187123      	2455664.14992	   -43.6500000	  1.40	   -44.054000000	  1.429
HD187123      	2455668.14370	    53.4700000	  1.23	    53.073000000	  1.263
HD187123      	2455704.07435	   -76.5100000	  1.53	   -77.236000000	  1.548
HD187123      	2455735.84514	    15.9900000	  1.26	    15.620000000	  1.278
HD187123      	2455769.76966	    -2.7700000	  1.25	    -2.765000000	  1.266
HD187123      	2455794.82170	    30.9300000	  1.31	    31.248000000	  1.320
HD187123      	2455842.80171	   -64.6000000	  1.33	   -64.291000000	  1.349
HD187123      	2455903.69205	    45.4000000	  1.38	    45.729000000	  1.402
HD187123      	2455995.15338	   -85.8900000	  1.44	   -86.012000000	  1.472
HD187123      	2456098.11472	     0.0000000	  1.26	     0.452000000	  1.304
HD187123      	2456175.74633	    21.0100000	  1.34	    21.680000000	  1.355
HD187123      	2456477.08298	   -15.7400000	  1.31	   -16.084000000	  1.340
HD187123      	2456853.10414	   -75.2100000	  1.39	   -74.387000000	  1.413
HD187123      	2456880.77123	   -86.2000000	  1.35	   -86.273000000	  1.369
HD187123      	2456906.72038	    37.3300000	  1.23	    37.665000000	  1.249
HD187123      	2457208.92258	   -76.0400000	  1.18	   -74.715000000	  1.206
HD187123      	2457210.12771	    54.2300000	  1.32	    55.336000000	  1.343
HD187123      	2457568.91927	    27.0100000	  1.28	    27.121000000	  1.301
HD187123      	2457829.16175	    44.5900000	  1.40	    43.883000000	  1.488
HD187123      	2457923.98170	   -56.1900000	  1.37	   -56.580000000	  1.410
HD187123      	2457984.02836	    45.8100000	  1.43	    45.220000000	  1.475
HD187123      	2457984.94714	    54.8500000	  1.34	    54.350000000	  1.388
HD187123      	2457988.81051	   -43.3000000	  1.48	   -43.689000000	  1.526
HD187123      	2457993.81229	    80.6700000	  1.27	    80.226000000	  1.329
HD187123      	2457994.89493	   -31.6200000	  1.36	   -32.484000000	  1.419
HD187123      	2457999.82510	    73.6600000	  1.52	    72.921000000	  1.568
HD187123      	2458000.82440	     0.8500000	  1.34	     0.112000000	  1.394
HD187123      	2458002.84237	    67.2800000	  1.39	    66.522000000	  1.442
HD187123      	2458002.91970	    73.1400000	  1.31	    72.297000000	  1.366
HD187123      	2458002.99444	    74.1800000	  1.34	    73.255000000	  1.394
HD187123      	2458018.82322	    72.6100000	  1.34	    71.917000000	  1.407
HD187123      	2458018.85880	    67.3000000	  1.47	    66.568000000	  1.532
HD187123      	2458020.78887	    -7.3600000	  1.26	    -7.933000000	  1.344
HD187123      	2458023.92633	    -2.5300000	  1.29	    -3.253000000	  1.372
HD187123      	2458266.99516	    16.0900000	  1.36	    16.145000000	  1.486
HD187123      	2458296.12738	   -44.7300000	  1.54	   -45.634000000	  1.609
HD187123      	2458393.70766	    44.2500000	  1.33	    43.768000000	  1.351
HD187123      	2458649.01618	   -61.0600000	  1.29	   -61.389000000	  1.327
HD187123      	2458716.02515	    -0.0400000	  1.41	     0.060000000	  1.483
HD187123      	2458913.17112	    39.2000000	  1.44	    37.787000000	  1.535
HD187123      	2459087.79472	   -36.5400000	  1.37	   -37.444000000	  1.400
HD187123      	2459474.82760	   -43.4100000	  1.33	   -42.252000000	  1.408
HD187123      	2459701.05260	   -59.6200000	  3.99	   -60.086000000	  4.096
HD187123      	2459708.10298	   -96.3100000	  2.47	   -96.514000000	  2.654
HD187123      	2459713.12249	   -27.7300000	  1.58	   -27.481000000	  1.834

