koaid,targname,object,koaimtyp,imtype,obstype,date_obs,ut,mjd,elaptime,exptime,binning,window,numamps,ccdgain,ccdspeed,deckname,slitname,slitwid,slitlen,xdispers,xdname,echangl,xdangl,fil1name,fil2name,iodin,iodout,lampname,lampcat1,lampcat2,lampqtz2,lampdeut,lfilname,lselname,lmirrin,lmirrout,hatopen,autoshut,xcovopen,rccvopen,bccvopen,frameno,ofname,progid,progpi,progtitl,proginst,semid,propint,ra,dec,airmass,npixsat
HI.19971223.17175.fits,187123,K17,object,ONEAMP,,1997-12-23 00:00:00,04:46:15.53,50805.19880400,500,500.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.01488378,-0.54449999,kv370,clear,T,F,undefined,F,F,F,F,bg14,quartz2,F,T,T,T,T,T,F,14,k170014.fits,U07H,S.Vogt,A Survey of Nearby Stars for Extrasolar Planets,UCSC,1997B_U07H,202,296.74113,34.42214,2.25000000,16
HI.19971224.16259.fits,187123,K17,object,ONEAMP,,1997-12-24 00:00:00,04:30:59.02,50806.18819100,500,500.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.01602543,-0.54299998,kv370,clear,F,T,undefined,F,F,F,F,bg14,quartz2,F,T,T,T,T,T,F,145,k170145.fits,U07H,S.Vogt,A Survey of Nearby Stars for Extrasolar Planets,UCSC,1997B_U07H,202,296.74083,34.42294,2.08000000,14
HI.19980618.45396.fits,187123,K21,object,ONEAMP,,1998-06-18 00:00:00,12:36:36.86,50982.52543200,400,400.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00397465,-0.56150001,kv370,clear,T,F,none,F,F,F,F,bg14,none,F,T,T,T,T,T,F,110,k210110.fits,N12H,J.Lissauer,A Search for Neptune-Mass Planets,NASA,1998A_N12H,118,296.74117,34.41872,1.03000000,12
HI.19980714.37567.fits,H187123,Star+Iodine,object,ONEAMP,,1998-07-14 00:00:00,10:26:07.06,51008.43481400,60,60.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00105709,-0.54200000,kv370,clear,T,F,none,F,F,F,F,bg14,none,F,T,T,T,T,T,F,106,jul13980106.fits,N10H,D.Latham,G Dwarf Planet Search,NASA,1998A_N10H,117,296.74183,34.42117,1.03000000,3
HI.19980715.38054.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-15 00:00:00,10:34:14.18,51009.44044900,260,260.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00194504,-0.54049999,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,47,k220047.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74462,34.41906,1.03000000,9
HI.19980716.52985.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-16 00:00:00,14:43:05.61,51010.61326700,400,400.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00093024,-0.54549998,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,127,k220127.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.73950,34.42219,1.82000000,13
HI.19980717.32194.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-17 00:00:00,08:56:34.95,51011.37264400,300,300.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00093024,-0.54449999,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,166,k220166.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74054,34.41986,1.10000000,9
HI.19980717.48747.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-17 00:00:00,13:32:27.68,51011.56422200,400,400.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00093024,-0.54750001,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,210,k220210.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74200,34.41672,1.37000000,11
HI.19980718.29255.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-18 00:00:00,08:07:35.49,51012.33862500,250,250.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00088795,-0.54949999,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,259,k220259.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74058,34.41633,1.20000000,9
HI.19980718.38646.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-18 00:00:00,10:44:06.10,51012.44730700,215,215.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00088795,-0.55100000,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,306,k220306.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74613,34.41697,1.04000000,8
HI.19980718.49487.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-18 00:00:00,13:44:47.00,51012.57277000,400,400.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,0.00088795,-0.55250001,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,345,k220345.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74117,34.41694,1.45000000,12
HI.19980719.24897.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-19 00:00:00,06:54:57.63,51013.28817700,427,427.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,-0.00004228,-0.54949999,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,383,k220383.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74483,34.42006,1.48000000,12
HI.19980719.35708.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-19 00:00:00,09:55:08.00,51013.41329900,300,300.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,-0.00004228,-0.54949999,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,414,k220414.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74275,34.41933,1.04000000,9
HI.19980719.49996.fits,187123,Star+Iodine,object,ONEAMP,,1998-07-19 00:00:00,13:53:16.00,51013.57866900,427,427.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,-0.00004228,-0.55350000,kv370,clear,T,F,none,F,F,F,F,ng3,none,F,T,T,T,T,T,F,476,k220000.fits,N14H,G.Marcy,True Jupiter Analogs: A Survey within 50 parsecs,NASA,1998A_N14H,117,296.74079,34.41922,1.52000000,13
HI.19980812.29160.fits,H187123,Star+Iodine,object,ONEAMP,,1998-08-12 00:00:00,08:06:00.70,51037.33752000,60,60.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,-0.00046512,-0.53799999,kv370,clear,T,F,none,F,F,F,F,bg14,none,F,T,T,T,T,T,F,94,aug11980094.fits,N14H,D.Latham,G Dwarf Planet Search,NASA,1998B_N14H,116,296.74000,34.42053,1.05000000,3
HI.19980812.29316.fits,H187123,Template,object,ONEAMP,,1998-08-12 00:00:00,08:08:36.51,51037.33932500,60,60.00000000,"1,2","0,0,0,2048,1024",1,F,,B1,opened,10.21383190,3.50000000,RED,undefined,-0.00046512,-0.53799999,kv370,clear,F,T,none,F,F,F,F,bg14,none,F,T,T,T,T,T,F,95,aug11980095.fits,N14H,D.Latham,G Dwarf Planet Search,NASA,1998B_N14H,116,296.73958,34.42075,1.04000000,3
