koaid,night,order,wave_min,wave_max,n_valid,n_good,frac_good,frac_zero,snr_valid,snr_good,med_counts,med_frac_use,fwhm,flag_masked,flag_lowsnr,resid,resid_format,resid_det,nsigma,snr_rel,snr_rel_ratio,flag_anomaly,use
HI.19980715.38054,19980715,93,3806.2337,3860.6911,2037,2032,0.9975,0.0054,44.1480,44.1441,2116.5617,0.9907,1.9182,0,0,-0.0294,-0.0296,0.0001,0.1186,0.4244,1.0123,0,1
HI.19980715.38054,19980715,92,3847.5935,3902.6537,2037,2032,0.9975,0.0054,52.7224,52.7131,3080.5049,0.9914,1.8985,0,0,0.0206,0.0207,-0.0001,-0.0848,0.5068,1.0087,0,1
HI.19980715.38054,19980715,91,3889.8645,3945.5372,2037,2036,0.9995,0.0054,57.4118,57.4114,3707.1771,0.9918,1.8996,0,0,-0.0179,-0.0169,-0.0010,-0.9731,0.5519,1.0019,0,1
HI.19980715.38054,19980715,90,3933.0736,3989.3747,2037,2035,0.9990,0.0054,64.8436,64.8436,4819.4313,0.9929,1.8844,0,0,-0.0236,-0.0220,-0.0016,-1.5388,0.6234,1.0031,0,1
HI.19980715.38054,19980715,89,3977.2535,4034.1970,2038,2036,0.9990,0.0049,86.5834,86.5834,9386.8856,0.9943,1.8917,0,0,0.0620,0.0621,-0.0002,-0.1542,0.8324,1.0031,0,1
HI.19980715.38054,19980715,88,4022.4373,4080.0383,2037,2037,1.0000,0.0054,91.8339,91.8339,10860.4379,0.9942,1.8966,0,0,0.0415,0.0419,-0.0003,-0.3265,0.8829,1.0017,0,1
HI.19980715.38054,19980715,87,4068.6595,4126.9333,2037,2036,0.9995,0.0054,96.9065,96.9163,12487.5060,0.9945,1.8970,0,0,0.0230,0.0231,-0.0000,-0.0044,0.9317,1.0018,0,1
HI.19980715.38054,19980715,86,4115.9568,4174.9187,2037,2036,0.9995,0.0054,102.4712,102.4795,14452.5552,0.9948,1.9080,0,0,0.0156,0.0160,-0.0003,-0.3269,0.9852,0.9998,0,1
HI.19980715.38054,19980715,85,4164.3663,4224.0336,2038,2037,0.9995,0.0049,105.5514,105.5524,15646.1160,0.9951,1.8997,0,0,0.0097,0.0092,0.0005,0.5175,1.0148,1.0002,0,1
HI.19980715.38054,19980715,84,4213.9299,4274.3167,2037,2006,0.9848,0.0054,108.2634,108.0635,16829.4324,0.9954,1.9121,0,0,0.0023,0.0022,0.0001,0.0578,1.0389,0.9974,0,1
HI.19980715.38054,19980715,83,4264.6871,4325.8117,2039,2039,1.0000,0.0044,106.1604,106.1604,15935.1624,0.9955,1.9039,0,0,-0.0252,-0.0258,0.0006,0.5602,1.0206,0.9982,0,1
HI.19980715.38054,19980715,82,4316.6827,4378.5620,2039,2036,0.9985,0.0044,115.5719,115.5845,20276.4133,0.9957,1.8992,0,0,0.0010,0.0019,-0.0008,-0.7918,1.1112,0.9949,0,1
HI.19980715.38054,19980715,81,4369.9602,4432.6154,2039,2039,1.0000,0.0044,119.9778,119.9778,22668.7929,0.9959,1.9020,0,0,0.0038,0.0040,-0.0002,-0.1582,1.1535,0.9942,0,1
