order,wave_min,wave_max,n_coadd,snr_single,snr_template,gain
57,6210,6262,3,197.0,342.1,1.74
58,6102,6190,3,197.4,345.6,1.75
59,5999,6085,3,198.1,345.2,1.74
60,5899,5984,3,197.8,345.3,1.75
61,5802,5885,3,197.6,344.3,1.74
62,5709,5791,3,196.6,341.6,1.74
63,5618,5699,3,195.5,340.0,1.74
64,5530,5610,3,195.7,340.0,1.74
65,5445,5523,3,194.9,337.8,1.73
66,5363,5440,3,193.3,334.3,1.73
67,5283,5359,3,192.4,332.4,1.73
68,5205,5280,3,189.4,326.6,1.72
69,5130,5203,3,187.9,323.8,1.72
70,5056,5129,3,188.2,324.6,1.72
71,4985,5057,3,185.8,319.8,1.72
72,4916,4986,3,186.1,320.1,1.72
73,4849,4917,3,182.1,312.6,1.72
74,4783,4850,3,183.3,314.7,1.72
75,4719,4786,3,180.6,309.5,1.71
76,4657,4724,3,176.3,301.8,1.71
77,4597,4663,3,175.0,299.4,1.71
78,4538,4603,3,171.1,292.3,1.71
79,4480,4545,3,167.7,286.3,1.71
80,4424,4488,3,162.1,275.9,1.70
81,4370,4433,3,155.9,265.4,1.70
82,4317,4378,3,150.4,254.7,1.69
83,4265,4326,3,138.9,234.6,1.69
84,4214,4274,3,141.1,238.9,1.69
85,4164,4224,3,138.2,232.4,1.68
86,4116,4175,3,134.9,227.5,1.69
87,4069,4127,3,128.4,216.1,1.68
88,4022,4080,3,121.8,204.4,1.68
89,3977,4034,3,115.5,193.8,1.68
90,3933,3989,3,88.5,143.1,1.62
91,3890,3945,3,79.4,132.2,1.67
92,3848,3903,3,73.4,126.2,1.72
93,3806,3861,3,62.1,103.8,1.67
