koaid,mjd,exptime,n_orders,v_rel,sigma_formal,sigma_empirical,order_scatter,v_bary,median_peak,night
HI.19971223.17175,50805.1988,500.0,8,-444.2740,4.9181,9.3811,26.5337,-11.1921,0.9946,19971223
HI.19971224.16259,50806.1882,500.0,14,-193.5429,5.0905,9.0424,33.8335,-10.9438,0.9525,19971224
HI.19980618.45396,50982.5254,400.0,22,231.4115,3.3926,9.5206,44.6556,11.5827,0.9945,19980618
HI.19980715.38054,51009.4404,260.0,22,0.2466,1.8761,6.9111,32.4161,4.8826,0.9980,19980715
HI.19980716.52985,51010.6133,400.0,22,400.6109,3.1723,15.0064,70.3862,4.2327,0.9944,19980716
HI.19980717.32194,51011.3726,300.0,22,117.7293,2.6266,10.7419,50.3840,4.4824,0.9961,19980717
HI.19980717.48747,51011.5642,400.0,18,150.2309,4.9789,14.8994,63.2128,4.0266,0.9894,19980717
HI.19980718.29255,51012.3386,250.0,22,106.5787,3.4210,13.8192,64.8177,4.2743,0.9940,19980718
HI.19980718.38646,51012.4473,215.0,22,119.1931,3.7349,12.2729,57.5650,4.0091,0.9918,19980718
HI.19980718.49487,51012.5728,400.0,13,154.0755,4.2563,13.0942,47.2117,3.7261,0.9932,19980718
HI.19980719.24897,51013.2882,427.0,22,2437.8339,1.7967,6.7174,31.5072,4.0841,0.9979,19980719
HI.19980719.35708,51013.4133,300.0,22,1609.0892,2.8728,10.0584,47.1782,3.8058,0.9955,19980719
HI.19980719.49996,51013.5787,427.0,19,1553.5779,2.7585,14.2752,62.2241,3.4293,0.9967,19980719
HI.19980812.29160,51037.3375,60.0,22,-702.4485,2.7867,14.6389,68.6623,-3.0689,0.9961,19980812
HI.19980812.29316,51037.3393,60.0,22,-689.8984,2.7130,14.8505,69.6551,-3.0735,0.9963,19980812
HI.19980817.39651,51042.4589,427.0,22,-56.0225,2.9713,4.9997,23.4508,-4.8236,0.9956,19980817
HI.19980817.46581,51042.5391,427.0,22,-48.3925,3.5851,18.0967,84.8810,-4.9525,0.9934,19980817
HI.19980818.39654,51043.4590,300.0,22,-368.1297,2.8660,11.7614,55.1660,-5.1101,0.9956,19980818
HI.19980818.47821,51043.5535,430.0,20,-28.2152,3.0619,14.6324,65.4379,-5.2520,0.9951,19980818
HI.19980825.19425,51050.2248,430.0,22,1111.3183,2.4579,17.3874,81.5543,-6.5371,0.9967,19980825
HI.19980825.19954,51050.2310,300.0,14,1066.7089,3.3710,16.5652,61.9813,-6.5485,0.9956,19980825
HI.19980825.43288,51050.5010,230.0,22,-441.9150,3.2328,30.9891,145.3518,-7.1492,0.9930,19980825
HI.19980825.43615,51050.5048,230.0,22,-492.3572,3.4014,33.2804,156.0990,-7.1541,0.9926,19980825
HI.19980826.19326,51051.2237,400.0,22,583.1095,1.4661,6.2587,29.3558,-6.8098,0.9989,19980826
HI.19980826.19932,51051.2307,400.0,20,612.3963,2.2271,3.7417,16.7336,-6.8247,0.9914,19980826
HI.19980826.34749,51051.4022,500.0,22,2.0871,1.0297,2.8247,13.2492,-7.2433,0.9993,19980826
HI.19980826.35345,51051.4091,500.0,22,17.0114,1.0746,2.9415,13.7969,-7.2588,0.9994,19980826
HI.19980826.35939,51051.4160,500.0,20,-14.2250,1.2768,3.1031,13.8773,-7.2740,0.9991,19980826
HI.19980826.44043,51051.5098,430.0,22,37.5166,2.2537,8.0489,37.7525,-7.4341,0.9965,19980826
HI.19980912.28430,51068.3291,350.0,7,-573.0993,16.3554,32.6339,86.3411,-11.3931,0.8930,19980912
HI.19980913.29698,51069.3437,350.0,20,-765.9425,3.8563,9.8317,43.9688,-11.6596,0.9921,19980913
HI.19980914.33654,51070.3895,320.0,22,-479.5581,2.1520,10.0224,47.0094,-11.9848,0.9971,19980914
HI.19980915.28132,51071.3256,300.0,22,949.9725,2.0826,5.4360,25.4970,-12.0717,0.9977,19980915
HI.19980916.27261,51072.3155,230.0,22,414.6241,3.2075,8.4381,39.5783,-12.2698,0.9946,19980916
HI.19980917.29496,51073.3414,300.0,18,515.9116,2.0825,6.6128,28.0556,-12.5500,0.9980,19980917
HI.19980918.26233,51074.3036,200.0,22,42.7923,3.1292,18.1064,84.9266,-12.6765,0.9946,19980918
