koaid,mjd,order,v_rel,sigma,peak,npix
HI.19971223.17175,50805.198804,72,-433.30,13.53,0.99546,2844
HI.19971223.17175,50805.198804,73,-458.50,10.92,0.99710,2793
HI.19971223.17175,50805.198804,74,-467.37,12.33,0.99423,2795
HI.19971223.17175,50805.198804,75,-457.79,11.70,0.99499,2793
HI.19971223.17175,50805.198804,76,-441.62,11.54,0.99569,2847
HI.19971223.17175,50805.198804,77,-386.27,13.97,0.99237,2845
HI.19971223.17175,50805.198804,78,-466.96,35.99,0.96677,2845
HI.19971223.17175,50805.198804,79,-389.46,72.18,0.86689,2843
HI.19971224.16259,50806.188191,72,-200.59,14.21,0.99503,2844
HI.19971224.16259,50806.188191,73,-217.31,11.41,0.99685,2794
HI.19971224.16259,50806.188191,74,-214.10,12.92,0.99366,2794
HI.19971224.16259,50806.188191,75,-204.64,11.89,0.99485,2793
HI.19971224.16259,50806.188191,76,-174.66,12.15,0.99525,2846
HI.19971224.16259,50806.188191,77,-134.12,28.52,0.96967,2845
HI.19971224.16259,50806.188191,78,-146.47,15.87,0.99295,2845
HI.19971224.16259,50806.188191,79,-153.18,60.09,0.91056,2843
HI.19971224.16259,50806.188191,80,-121.11,59.18,0.91847,2845
HI.19971224.16259,50806.188191,81,-270.34,126.20,0.82594,2845
HI.19971224.16259,50806.188191,82,196.89,148.21,0.80964,2843
HI.19971224.16259,50806.188191,85,-111.60,115.34,0.84508,2810
HI.19971224.16259,50806.188191,86,-68.42,124.29,0.83476,2842
HI.19971224.16259,50806.188191,93,-433.48,92.68,0.93542,2838
HI.19980618.45396,50982.525432,72,224.23,14.69,0.99490,2844
HI.19980618.45396,50982.525432,73,218.30,13.46,0.99585,2792
HI.19980618.45396,50982.525432,74,225.69,14.35,0.99262,2793
HI.19980618.45396,50982.525432,75,229.08,13.10,0.99404,2793
HI.19980618.45396,50982.525432,76,232.20,13.12,0.99475,2843
HI.19980618.45396,50982.525432,77,267.13,12.43,0.99413,2844
HI.19980618.45396,50982.525432,78,285.53,12.33,0.99578,2844
HI.19980618.45396,50982.525432,79,263.04,13.65,0.99422,2842
HI.19980618.45396,50982.525432,80,229.90,12.71,0.99543,2843
HI.19980618.45396,50982.525432,81,266.29,13.45,0.99690,2842
HI.19980618.45396,50982.525432,82,160.17,16.42,0.99485,2842
HI.19980618.45396,50982.525432,83,249.05,12.94,0.99737,2841
HI.19980618.45396,50982.525432,84,188.89,46.77,0.96604,2841
HI.19980618.45396,50982.525432,85,261.77,27.85,0.98597,2840
HI.19980618.45396,50982.525432,86,253.50,14.04,0.99611,2839
HI.19980618.45396,50982.525432,87,236.35,15.13,0.99474,2839
HI.19980618.45396,50982.525432,88,176.98,14.65,0.99612,2838
HI.19980618.45396,50982.525432,89,156.41,21.69,0.98956,2838
HI.19980618.45396,50982.525432,90,96.79,60.48,0.94696,2837
HI.19980618.45396,50982.525432,91,157.78,35.90,0.97869,2837
HI.19980618.45396,50982.525432,92,91.25,37.63,0.97801,2836
HI.19980618.45396,50982.525432,93,-38.15,38.01,0.98576,2836
HI.19980715.38054,51009.440449,72,-20.08,9.73,0.99770,2844
HI.19980715.38054,51009.440449,73,-58.50,7.28,0.99874,2792
HI.19980715.38054,51009.440449,74,-35.09,9.42,0.99670,2794
HI.19980715.38054,51009.440449,75,-36.05,7.30,0.99810,2792
HI.19980715.38054,51009.440449,76,-10.65,6.90,0.99851,2846
HI.19980715.38054,51009.440449,77,-5.14,6.62,0.99829,2845
HI.19980715.38054,51009.440449,78,-2.72,6.88,0.99865,2845
HI.19980715.38054,51009.440449,79,-22.52,8.38,0.99773,2843
HI.19980715.38054,51009.440449,80,2.36,6.05,0.99894,2844
HI.19980715.38054,51009.440449,81,9.70,8.47,0.99873,2843
HI.19980715.38054,51009.440449,82,-22.18,8.10,0.99869,2843
HI.19980715.38054,51009.440449,83,22.48,5.50,0.99951,2842
HI.19980715.38054,51009.440449,84,-33.39,28.61,0.98640,2842
HI.19980715.38054,51009.440449,85,34.77,25.04,0.98836,2841
